SeasonalNaive24 indexing sanity check
sample_idx=0, station_idx=0, pollutant=PM2.5

h  lookback_idx  X_raw(lookback_idx)  seasonal_pred[h]
 1         144        119.000000        119.000000
 2         145        108.000000        108.000000
 3         146        109.000000        109.000000
 4         147         90.000000         90.000000
 5         148         77.000000         77.000000
 6         149         74.000000         74.000000
 7         150         64.000000         64.000000
 8         151         67.000000         67.000000
 9         152         67.000000         67.000000
10         153         72.000000         72.000000
11         154         41.000000         41.000000
12         155         17.000000         17.000000
13         156          8.000000          8.000000
14         157         13.000000         13.000000
15         158         14.000000         14.000000
16         159          7.000000          7.000000
17         160         11.000000         11.000000
18         161         10.000000         10.000000
19         162          8.000000          8.000000
20         163         13.000000         13.000000
21         164         18.000000         18.000000
22         165         20.000000         20.000000
23         166         14.000000         14.000000
24         167         13.000000         13.000000
